Date,Close,Volume,Open,High,Low
06/30/2022,3.71,54001,3.772,3.795,3.6725
06/29/2022,3.7805,48573,3.758,3.819,3.708
06/28/2022,3.78,54667,3.7605,3.85,3.741
06/27/2022,3.766,45096,3.7475,3.8185,3.741
06/24/2022,3.7445,50086,3.7445,3.8055,3.6415
06/23/2022,3.7465,47095,3.947,3.7605,3.738
06/22/2022,3.95,45308,4.034,4.038,3.89
06/21/2022,4.0485,47580,4.02,4.0925,3.965
06/17/2022,4.0295,22989,4.117,4.1365,4.01
06/16/2022,4.1265,29239,4.1935,4.2375,4.0645
06/15/2022,4.1825,17131,4.147,4.2245,4.1365
06/14/2022,4.176,26987,4.2165,4.267,4.1355
06/13/2022,4.228,34972,4.3,4.3,4.189
06-10-22,4.2945,59439,4.368,4.383,4.2745
06-09-22,4.381,59489,4.445,4.4515,4.3555
06-08-22,4.4545,51281,4.4435,4.4575,4.3965
06-07-22,4.4355,59190,4.4325,4.4615,4.3705
06-06-22,4.435,61808,4.467,4.472,4.406
06-03-22,4.472,40204,4.555,4.577,4.458
06-02-22,4.5525,70766,4.328,4.569,4.3075
06-01-22,4.3285,54481,4.2855,4.35,4.259
05/31/2022,4.296,63465,4.32,4.3665,4.274
05/27/2022,4.3065,35919,4.273,4.327,4.255
05/26/2022,4.259,40196,4.2685,4.28,4.2035
05/25/2022,4.2545,43546,4.314,4.3225,4.223
05/24/2022,4.305,43773,4.341,4.3415,4.2565
05/23/2022,4.3455,49056,4.2945,4.355,4.272
05/20/2022,4.275,44325,4.2775,4.3275,4.2505
05/19/2022,4.283,54505,4.155,4.298,4.1445
05/18/2022,4.1785,44049,4.2295,4.248,4.1315
05/17/2022,4.239,43709,4.203,4.2835,4.203
05/16/2022,4.1915,40503,4.1795,4.22,4.1335
05/13/2022,4.175,48767,4.086,4.185,4.055
05-12-22,4.1005,64834,4.2115,4.223,4.037
05-11-22,4.209,52792,4.155,4.25,4.1485
05-10-22,4.1545,55470,4.196,4.258,4.1285
05-09-22,4.1935,64966,4.238,4.245,4.124
05-06-22,4.267,46171,4.2905,4.319,4.231
05-05-22,4.2915,59406,4.367,4.44,4.2765
05-04-22,4.338,48275,4.299,4.3835,4.251
05-03-22,4.283,50158,4.2855,4.36,4.2635
05-02-22,4.268,46336,4.393,4.404,4.204
04/29/2022,4.4085,47592,4.444,4.512,4.3715
04/28/2022,4.4335,49372,4.4645,4.4935,4.3865
04/27/2022,4.475,68970,4.4155,4.5145,4.4155
04/26/2022,4.464,56233,4.4995,4.5445,4.408
04/25/2022,4.472,72420,4.602,4.622,4.43
04/22/2022,4.602,39825,4.701,4.7235,4.589
04/21/2022,4.7225,30996,4.6865,4.7355,4.6545
04/20/2022,4.6755,29776,4.7215,4.731,4.6465
04/19/2022,4.7395,29236,4.8225,4.8285,4.7015
04/18/2022,4.8215,16255,4.76,4.86,4.7055
04/14/2022,4.741,15078,4.717,4.758,4.685
04/13/2022,4.7305,24544,4.711,4.771,4.692
04-12-22,4.7095,55886,4.6295,4.726,4.625
04-11-22,4.634,69170,4.727,4.7395,4.624
04-08-22,4.725,47155,4.7185,4.7655,4.702
04-07-22,4.6995,50418,4.705,4.7295,4.6725
04-06-22,4.738,56852,4.766,4.7885,4.697
04-05-22,4.795,41664,4.7825,4.86,4.7525
04-04-22,4.7815,39980,4.7055,4.809,4.688
04-01-22,4.6885,52842,4.7255,4.7515,4.669
03/31/2022,4.751,39372,4.748,4.769,4.705
03/30/2022,4.7505,47380,4.749,4.828,4.726
03/29/2022,4.731,36879,4.7245,4.7575,4.699
03/28/2022,4.7255,44433,4.696,4.739,4.642
03/25/2022,4.6985,35909,4.7275,4.773,4.686
03/24/2022,4.7425,40639,4.776,4.8175,4.7085
03/23/2022,4.7765,32109,4.71,4.7855,4.689
03/22/2022,4.7,36431,4.704,4.769,4.68
03/21/2022,4.7105,31238,4.727,4.732,4.656
03/18/2022,4.7395,38204,4.702,4.76,4.673
03/17/2022,4.702,42680,4.621,4.717,4.6105
03/16/2022,4.6005,45139,4.501,4.6405,4.4985
03/15/2022,4.513,45209,4.5155,4.543,4.4685
03/14/2022,4.523,49287,4.598,4.6155,4.496
03-11-22,4.6255,39015,4.6335,4.724,4.5945
03-10-22,4.6525,43943,4.5965,4.6785,4.574
03-09-22,4.5725,57941,4.7105,4.7885,4.553
03-08-22,4.71,86439,4.745,4.967,4.603
03-07-22,4.731,94413,4.92,5.0395,4.668
03-04-22,4.9375,93867,4.7825,4.949,4.751
03-03-22,4.7815,88628,4.671,4.7985,4.6615
03-02-22,4.6655,78043,4.571,4.705,4.5525
03-01-22,4.5965,67350,4.506,4.602,4.492
02/28/2022,4.4545,57745,4.4925,4.532,4.45
02/25/2022,4.485,56288,4.5075,4.5285,4.456
02/24/2022,4.461,66868,4.466,4.5935,4.447
02/23/2022,4.4885,38768,4.5175,4.5535,4.456
02/22/2022,4.5175,52135,4.5175,4.5495,4.472
02/18/2022,4.526,22490,4.509,4.577,4.501
02/17/2022,4.528,23887,4.545,4.5545,4.469
02/16/2022,4.541,20911,4.536,4.592,4.524
02/15/2022,4.536,17715,4.491,4.5545,4.4765
02/14/2022,4.508,20615,4.456,4.52,4.452
02-11-22,4.506,122741,4.615,4.629,4.4315
02-10-22,4.6595,114431,4.6335,4.7085,4.5855
